   ОКЭР (регион), данные на 2013 год     Y    х1    х2   х3   х4    х5     х6  \
7                 г. Санкт-Петербург 59.90  7.00 15.90 8.20 5.10 13.80 229.00   
8              Ленинградская область 55.50  7.20 18.20 7.40 6.10 14.30 146.00   
9               Новгородская область 55.30  7.90 19.70 6.40 4.70 19.80 174.00   
10                 Псковская область 55.80  7.70 20.80 6.90 5.20 17.10 128.00   
12                   Брянская облсть 60.10  9.20 15.90 7.80 5.30 16.70 169.00   
13              Владимирская область 58.50  7.60 16.40 6.70 4.70 15.50 144.00   
14                Ивановская область 57.40  7.30 18.30 6.30 4.90 19.60 138.00   
15                 Калужская область 58.50  7.90 16.40 6.80 5.00 17.60 197.00   
16               Костромская область 58.30  7.90 17.00 6.30 4.40 20.10 182.00   
17                          г.Москва 58.20  8.00 16.90 8.20 4.60 15.50 520.00   
18                Московская область 56.50  7.20 17.60 8.10 5.20 16.10 143.00   
19                 Орловская область 59.20  8.70 16.00 7.60 4.40 18.90 214.00   
20                 Рязанская область 58.10  7.80 17.90 7.20 4.30 15.70 158.00   
21                Смоленская область 58.80  8.00 16.90 6.90 4.70 16.80 185.00   
22                  Тверская область 56.50  7.50 19.40 6.70 4.60 19.30 153.00   
23                  Тульская область 57.10  7.30 19.40 7.40 5.00 20.10 200.00   
24               Ярославская область 58.30  7.60 17.30 7.10 5.30 12.00 180.00   
32              Белгородская область 61.90  9.40 14.80 8.10 5.00 14.70 200.00   
33               Воронежская область 61.00  8.30 16.60 7.70 4.40 15.40 182.00   
34                  Курская  область 60.20  8.50 16.70 8.00 4.10 17.10 179.00   
35                  Липецкая область 59.50  8.40 16.10 7.60 4.60 16.70 181.00   
36                Тамбовская область 59.30  8.40 17.30 7.30 4.10 19.40 183.00   
38               Республика Калмыкия 59.80 13.50 10.50 7.10 3.40 15.80 100.00   
39              Республика Татарстан 60.20 10.40 12.90 7.00 3.90 18.50 194.00   
40              Астраханская область 60.00 10.10 13.50 7.10 4.60 18.60 143.00   
41             Волгоградская область 60.70  9.10 14.60 7.50 5.10 19.10 141.00   
42                Пензенская область 60.90  8.20 15.00 7.10 4.00 14.70 148.00   
43                 Самарская область 59.10  8.60 14.80 7.30 4.80 14.00 188.00   
44               Саратовская область 60.30  8.90 14.50 6.90 4.20 23.60 138.00   
45               Ульяновская область 60.70  8.90 13.40 6.70 3.90 21.80 198.00   
72                Республика Бурятия 57.20 11.70 12.00 6.50 3.50 15.20 122.00   
73                   Республика Тыва 49.70 20.00 13.00 5.90 1.90 28.00  84.00   
74                Республика Хакасия 56.00  9.90 14.00 7.10 4.40 24.60 161.00   
75                 Красноярский край 56.00  9.80 14.00 7.20 4.80 19.80 246.00   
76                 Иркутская область 54.70 10.60 14.60 6.30 3.30 18.10 170.00   
77                 Читинская область 56.20 12.20 12.80 6.90 4.00 20.80  99.00   
79                   Республика Саха 57.00 15.30  9.80 8.00 4.70 19.50 170.00   
80      Еврейская автономная область 55.00 10.90 13.60 7.30 5.20 26.40 130.00   
81        Чукотский автономный округ 57.80  9.80  8.60 7.30 8.90 34.00  85.00   
82                   Приморский край 57.80  9.40 13.10 6.60 4.70 21.50 144.00   
83                  Хабаровский край 57.20  9.30 13.10 6.60 5.70 17.80 153.00   
84                  Амурская область 58.00 10.10 12.00 7.20 4.90 23.60 175.00   
85                Камчатская область 56.30  9.10 11.20 7.90 6.70 15.40 211.00   
86               Магаданская область 55.70  8.30 10.90 7.20 7.10 14.20 202.00   
87               Сахалинская область 50.70  8.90 17.00 7.20 5.70 22.70 145.00   
88           Калининградская область 58.90  8.60 13.60 7.80 6.00 15.40 155.00   

       x7    x8      x9  
7  172.00 20.00 2104.00  
8  167.00 29.10 2489.00  
9  144.00 22.80 2428.00  
10 111.00 42.70 2494.00  
12 148.00 22.70 2094.00  
13 150.00 27.90 1768.00  
14 133.00 33.70 1982.00  
15 155.00 26.60 1621.00  
16 159.00 30.50 1631.00  
17 197.00 19.10 1066.00  
18 165.00 31.20 1183.00  
19 161.00 22.70 1308.00  
20 163.00 24.40 1475.00  
21 146.00 19.80 2081.00  
22 165.00 28.60 2109.00  
23 175.00 16.20 1757.00  
24 154.00 21.30 2111.00  
32 195.00 19.90 1128.00  
33 157.00 23.10 1295.00  
34 177.00 20.20 1803.00  
35 191.00 18.60 1358.00  
36 170.00 22.00 1549.00  
38 120.00 60.30 1417.00  
39 225.00 22.10 1581.00  
40 137.00 32.10 1938.00  
41 160.00 33.20 1443.00  
42 121.00 30.20 1121.00  
43 207.00 21.20 1511.00  
44 117.00 35.30 1601.00  
45 206.00 16.30 1193.00  
72 155.00 55.20 2580.00  
73 101.00 73.20 2713.00  
74 201.00 25.30 2222.00  
75 296.00 24.20 2417.00  
76 215.00 32.30 2317.00  
77 112.00 66.50 2784.00  
79 201.00 29.20 1483.00  
80 125.00 28.50 3276.00  
81  73.00 26.40 1148.00  
82 170.00 31.80 3095.00  
83 171.00 29.40 2881.00  
84 187.00 37.90 2017.00  
85 228.00 22.70 2064.00  
86 187.00 24.60 3068.00  
87 169.00 24.60 3588.00  
88 145.00 26.60 2471.00  
